player_id,player_name,team_name,role,position,all,win,loss
186837494,Mjz,Thunder Predator,Support,Hard Support,9.35578351023437,10.5451602996154,8.54199939118421
349310876,MoOz,Thunder Predator,Support,Soft Support,12.6562363315625,14.3414164742308,11.5032183392105
97658618,Timado,Undying,Core,Carry,16.4402888416667,17.7620148255,12.6639288878571
126212866,SabeRLighT,Undying,Core,Off,10.801903308287,11.4763794115625,8.8748287275
238239590,Bryle,Undying,Mid,Mid,17.334167725463,18.651966490125,13.5690283978571
38628747,MoonMeander,Undying,Support,Soft Support,13.0189624588981,13.8869173675,10.5390912914643
145550466,DuBu,Undying,Support,Hard Support,16.5532291543519,16.9362974765,15.4587482339286
86822085,Costabile,SG esports,Core,Carry,15.804112468,20.6202540419048,11.5899885908333
117956848,tavo,SG esports,Core,Off,9.69411664366667,11.6280809011905,8.00189791833333
85937380,4dr,SG esports,Mid,Mid,14.5300077303333,16.4858882857143,12.818612244375
81306398,KJ,SG esports,Support,Hard Support,14.8959719771111,17.0615880590476,13.0010579054167
105045291,Thiolicor,SG esports,Support,Soft Support,12.7166195725556,13.9892028654762,11.60310919125
88271237,Ceb,OG,Core,Off,11.7897852081915,12.4647177832,11.0228163729545
111620041,SumaiL,OG,Core,Carry,16.6672690343966,19.5761959516129,13.3273899812963
94054712,Topson,OG,Mid,Mid,14.50411368,15.8709950006,13.0183731141304
19672354,N0tail,OG,Support,Hard Support,14.9939850375,16.0855097968,13.8075450817391
103735745,Saksa,OG,Support,Soft Support,15.4056171484375,16.7161351364,13.9811410745652
302214028,Collapse,Team Spirit,Core,Off,11.5842991809669,12.6422286379188,9.52004658203658
321580662,Yatoro,Team Spirit,Core,Carry,16.2158358799174,18.6129462825625,11.5385472893902
431770905,TORONTOTOKYO,Team Spirit,Mid,Mid,16.5705451243802,18.1765707710625,13.4368365454878
113331514,Miposhka,Team Spirit,Support,Hard Support,14.472578122438,15.1796905854375,13.0928464873171
256156323,Mira,Team Spirit,Support,Soft Support,13.7761093003306,14.247002376875,12.8572935412195
137193239,eurus,Elephant,Core,Carry,14.0142146472472,16.0505765915217,11.8357809394186
139937922,Yang,Elephant,Core,Off,10.3142158926966,11.4346471881522,9.11561497197674
106863163,Somnus,Elephant,Mid,Mid,15.771804375464,17.902679482963,13.4922635627907
90882159,Super!,Elephant,Support,Hard Support,13.2389938017978,13.7900187286957,12.6495252753488
101695162,fy,Elephant,Support,Soft Support,14.0333656647753,14.4165043822826,13.6234963390698
99983413,Deth,Fnatic,Core,Off,9.8837165425,10.2441046319231,9.41521202625
132309493,Raven,Fnatic,Core,Carry,16.4885829436154,19.7531003427143,12.6799793113333
113435203,ChYuaN,Fnatic,Mid,Mid,14.3741392422308,15.8156968958571,12.6923219796667
100471531,jabz,Fnatic,Support,Soft Support,12.5695856376154,13.361944258,11.6451672471667
102099826,DJ,Fnatic,Support,Hard Support,16.0230306093692,17.1103648315714,14.7544740168
