"player_id","match_id","match_time","match_duration","series_id","series_type","hero_id","win","kills","deaths","creep_score","gold_per_min","tower_kills","roshan_kills","team_fight","obs_wards_planted","camps_stacked","runes_grabbed","first_blood","stuns","total"
"41231571","6212548014",1633599183,1963,601130,1,"28",FALSE,1.8,1.2,0.33,0.656,1,0,2.1,0,1,0.25,0,3.255122,11.591122
"12231202","6212548014",1633599183,1963,601130,1,"39",FALSE,1.8,1.5,0.72,0.938,0,0,1.95,0.5,1,1.5,0,0,9.908
"412753955","6212548014",1633599183,1963,601130,1,"72",FALSE,0.6,1.8,0.903,0.978,0,0,0.9,0,2.5,0.5,0,1.34627685,9.52727685
"18180970","6212548014",1633599183,1963,601130,1,"91",FALSE,0.6,1.5,0.054,0.372,0,0,1.5,2,6,1,4,0,17.026
"94049589","6212548014",1633599183,1963,601130,1,"120",FALSE,1.2,-0.6,0.189,0.588,0,0,1.8,5,0.5,0.25,0,0.06572876,8.99272876
"19672354","6212832858",1633616386,1649,601160,1,"53",TRUE,0,0.6,0.399,0.812,2,1,1.24999998,4,3.5,0.25,0,0,13.81099998
"111620041","6212832858",1633616386,1649,601160,1,"10",TRUE,3,3,0.81,1.354,5,1,2.25,0,1.5,1.5,0,1.1635412,20.5775412
"88271237","6212832858",1633616386,1649,601160,1,"7",TRUE,1.2,1.8,0.444,0.906,0,0,1.5,0.5,0.5,0.25,0,2.63107185,9.73107185
"103735745","6212832858",1633616386,1649,601160,1,"128",TRUE,1.5,1.8,0.243,0.74,0,0,1.24999998,2,0.5,1.25,0,1.06101085,10.34401083
"94054712","6212832858",1633616386,1649,601160,1,"29",TRUE,1.5,2.7,0.585,1.024,1,0,2.1249999,0.5,1,1,0,1.52187375,12.95587365
"186837494","6212832858",1633616386,1649,601160,1,"85",FALSE,0.6,1.5,0.075,0.436,0,0,2.0625,4,1,0.25,0,0,9.9235
"95825708","6212832858",1633616386,1649,601160,1,"94",FALSE,1.2,2.1,0.978,1.16,1,0,1.5,0,0,0,0,0.4243286,8.3623286
"59463394","6212832858",1633616386,1649,601160,1,"129",FALSE,1.5,2.1,0.363,0.722,0,0,2.4375,1,0.5,1.5,4,2.9934822,17.1159822
"349310876","6212832858",1633616386,1649,601160,1,"63",FALSE,1.2,0.3,0.075,0.422,1,0,2.25,2,1,1.5,0,0,9.747
"407321629","6212832858",1633616386,1649,601160,1,"60",FALSE,0.3,1.8,0.306,0.538,0,0,1.5,0,0.5,0.25,0,0.070061045,5.264061045
"148215639","6213722366",1633685460,2924,601333,1,"70",TRUE,7.8,2.4,1.257,1.542,4,3,2.56097568,0,0,2.5,4,1.2609829,30.32095858
"89423756","6213722366",1633685460,2924,601333,1,"91",TRUE,0.3,2.1,0.165,0.704,1,0,2.3414634,4.5,0,0.75,0,1.25126455,13.11172795
"129958758","6213722366",1633685460,2924,601333,1,"38",TRUE,1.5,1.2,0.738,0.916,3,0,1.9756098,0,0,1,0,2.064678,12.3942878
"207829314","6213722366",1633685460,2924,601333,1,"63",TRUE,0.9,1.5,0.372,0.776,0,0,1.6829268,6.5,0,1,0,0,12.7309268
"373520478","6213722366",1633685460,2924,601333,1,"17",TRUE,1.2,1.8,1.017,0.972,0,0,1.3170732,0.5,0,3.75,0,1.5152344,12.0713076
"19672354","6213722366",1633685460,2924,601333,1,"68",FALSE,0.3,0.6,0.285,0.65,0,0,2.1,7,0.5,0.75,0,0.65946045,12.84446045
"111620041","6213722366",1633685460,2924,601333,1,"10",FALSE,2.1,1.8,1.464,1.206,2,0,1.8,0,1,2,0,1.7665632,15.1365632
"88271237","6213722366",1633685460,2924,601333,1,"7",FALSE,1.2,0,1.017,0.918,0,0,2.25,0.5,0.5,1.25,0,2.8119765,10.4469765
"103735745","6213722366",1633685460,2924,601333,1,"101",FALSE,1.5,0.3,0.168,0.522,0,0,2.4,3,1,0.5,0,0,9.39
"94054712","6213722366",1633685460,2924,601333,1,"19",FALSE,0.9,0,1.017,0.946,3,0,2.25,1,0,2,0,3.114187,14.227187
"19672354","6215145875",1633777290,1172,601587,1,"104",TRUE,0.6,1.5,0.099,0.582,0,0,1.42857144,1.5,0.5,0.75,0,0,6.95957144
"111620041","6215145875",1633777290,1172,601587,1,"48",TRUE,2.7,3,0.768,1.504,5,0,1.7142858,0,0.5,0.5,0,1.14362575,16.82991155
"88271237","6215145875",1633777290,1172,601587,1,"91",TRUE,0.3,2.7,0.273,0.718,0,0,2.14285719,0,0,0.25,0,0,6.38385719
"103735745","6215145875",1633777290,1172,601587,1,"103",TRUE,0.9,2.4,0.078,0.522,0,0,2.14285719,2.5,1,0.5,0,0.91782835,10.96068554
"94054712","6215145875",1633777290,1172,601587,1,"74",TRUE,1.8,3,0.369,0.908,1,1,2.14285719,1,0,0.5,0,2.01694775,13.73680494
"38628747","6215145875",1633777290,1172,601587,1,"63",FALSE,0.3,1.2,0.057,0.354,0,0,0.75,1,1,0,0,0,4.661
"238239590","6215145875",1633777290,1172,601587,1,"46",FALSE,1.5,2.1,0.456,0.896,0,0,1.875,0.5,1,2,0,0,10.327
"126212866","6215145875",1633777290,1172,601587,1,"7",FALSE,0.3,1.2,0.222,0.598,0,0,2.625,0,0,0,4,2.72820185,11.67320185
"145550466","6215145875",1633777290,1172,601587,1,"84",FALSE,0,1.8,0.015,0.292,0,0,1.125,3,2,0.5,0,0.7800659,9.5120659
"97658618","6215145875",1633777290,1172,601587,1,"67",FALSE,0.3,2.4,0.348,0.742,0,0,0.375,0,0.5,0.75,0,0,5.415
"108452107","6216792975",1633866900,3768,601863,1,"109",TRUE,5.4,1.5,2.19,1.632,3,0,2.84210532,0,0.5,2,0,0,19.06410532
"221666230","6216792975",1633866900,3768,601863,1,"69",TRUE,1.8,1.5,0.972,1.32,2,0,2.76315789,0.5,0,3,0,1.990333,15.84549089
"87063175","6216792975",1633866900,3768,601863,1,"49",TRUE,0.3,1.2,1.485,1.086,2,0,2.1315789,0,0.5,2.75,0,2.67364465,14.12622355
"86726887","6216792975",1633866900,3768,601863,1,"7",TRUE,2.1,1.8,0.387,0.696,0,1,1.5789474,3,0,2.25,0,5.650247,18.4621944
"47434686","6216792975",1633866900,3768,601863,1,"103",TRUE,1.8,-1.2,0.351,0.71,0,0,2.2105263,10,0.5,2.25,0,4.5707653,21.1922916
"137193239","6216792975",1633866900,3768,601863,1,"63",FALSE,3.3,1.2,1.902,1.346,2,0,2.1176472,0.5,0.5,0.5,0,0,13.3656472
"106863163","6216792975",1633866900,3768,601863,1,"35",FALSE,3.3,0.6,2.031,1.49,1,3,2.55882348,0,1,2.75,4,0.029760135,21.759583615
"139937922","6216792975",1633866900,3768,601863,1,"29",FALSE,1.8,1.2,1.119,0.994,4,0,2.2941177,1,0,2.25,0,4.289335,18.9464527
"101695162","6216792975",1633866900,3768,601863,1,"128",FALSE,1.8,1.2,0.495,0.694,1,0,1.7647059,3.5,1.5,0.75,0,1.9141857,14.6178916
"90882159","6216792975",1633866900,3768,601863,1,"20",FALSE,0,-0.6,0.114,0.506,0,0,1.5882354,8.5,1.5,0.5,0,2.5003048,14.6085402
"19672354","6213792328",1633690392,2512,601333,1,"29",FALSE,0.3,-0.3,0.297,0.546,0,0,2.1,3,1,1.5,0,2.179645,10.622645
"111620041","6213792328",1633690392,2512,601333,1,"56",FALSE,0.6,1.2,1.086,1.076,0,1,1.8,0,1.5,2.75,0,0,11.012
"88271237","6213792328",1633690392,2512,601333,1,"38",FALSE,0.9,1.2,0.759,0.824,0,0,2.4,0,1.5,0.25,0,1.7029667,9.5359667
"103735745","6213792328",1633690392,2512,601333,1,"86",FALSE,0.9,0.9,0.324,0.538,0,0,2.4,5.5,1,1.25,0,1.5076173,14.3196173
"94054712","6213792328",1633690392,2512,601333,1,"49",FALSE,0.3,1.5,1.119,0.998,3,0,0.6,1,1.5,1.75,0,1.63859615,13.40559615
"148215639","6213792328",1633690392,2512,601333,1,"19",TRUE,3,3,1.56,1.622,6,2,2.0571429,0,1,0.75,0,1.95962065,22.94876355
"89423756","6213792328",1633690392,2512,601333,1,"83",TRUE,0,2.7,0.171,0.636,0,0,1.9714287,6.5,0,0,0,1.7130075,13.6914362
"129958758","6213792328",1633690392,2512,601333,1,"69",TRUE,2.1,2.4,0.81,1.386,1,0,2.57142861,0,1,1.25,0,1.955973,14.47340161
"207829314","6213792328",1633690392,2512,601333,1,"114",TRUE,1.8,1.8,0.225,0.632,0,0,1.88571435,2.5,0.5,1.75,4,2.35816385,17.4508782
"373520478","6213792328",1633690392,2512,601333,1,"25",TRUE,3.6,2.1,1.146,1.274,3,0,1.62857151,1,1,2.25,0,1.31507465,18.31364616
"38628747","6215201229",1633780165,2917,601587,1,"9",TRUE,2.1,2.1,0.459,0.794,0,0,2.57142861,1,3.5,1,0,4.3868492,17.91127781
"238239590","6215201229",1633780165,2917,601587,1,"19",TRUE,2.7,1.2,0.888,0.984,1,0,2.3142858,0.5,0.5,2.5,0,3.4649597,16.0512455
"126212866","6215201229",1633780165,2917,601587,1,"29",TRUE,1.5,1.2,0.753,0.918,0,0,1.88571435,0,0,1,0,4.23420525,11.4909196
"145550466","6215201229",1633780165,2917,601587,1,"85",TRUE,0.6,-0.3,0.141,0.548,0,0,2.14285719,9.5,1.5,0.25,0,0,14.38185719
"97658618","6215201229",1633780165,2917,601587,1,"10",TRUE,3.3,2.1,1.317,1.314,5,1,1.62857151,0,0.5,0.75,0,0.47806105,17.38763256
"19672354","6215201229",1633780165,2917,601587,1,"128",FALSE,0.9,0.6,0.384,0.68,0,0,1.34482758,4.5,3,3,0,0.99679585,15.40562343
"111620041","6215201229",1633780165,2917,601587,1,"97",FALSE,1.5,1.5,1.533,1.216,5,2,1.65517242,0,1.5,2.5,0,2.655987,21.06015942
"88271237","6215201229",1633780165,2917,601587,1,"43",FALSE,2.7,0.9,0.909,0.906,0,0,1.9655172,0,1,0.25,0,0,8.6305172
"103735745","6215201229",1633780165,2917,601587,1,"51",FALSE,0.9,0.3,0.306,0.608,0,0,2.58620685,6.5,3.5,1.25,0,3.3287425,19.27894935
"94054712","6215201229",1633780165,2917,601587,1,"34",FALSE,2.7,1.2,1.002,1.086,0,0,2.48275869,0.5,1.5,2.5,4,1.5419052,18.51266389
"292921272","6213662751",1633679933,2221,601321,1,"96",FALSE,0.9,0.3,0.804,0.882,1,0,2.1176472,0,1.5,0.75,0,2.344342,10.5979892
"164685175","6213662751",1633679933,2221,601321,1,"54",FALSE,2.4,0.9,0.984,1.092,1,0,2.1176472,0,0.5,0.5,4,0,13.4936472
"119631156","6213662751",1633679933,2221,601321,1,"135",FALSE,0.3,0,0.168,0.478,0,0,2.2941177,5,3.5,0.25,0,1.0487896,13.0389073
"153836240","6213662751",1633679933,2221,601321,1,"13",FALSE,1.5,1.8,1.035,1.08,0,0,2.1176472,0.5,0.5,2,0,0.12163575,10.65428295
"157989498","6213662751",1633679933,2221,601321,1,"79",FALSE,0,0,0.273,0.526,0,0,1.2352941,2.5,2.5,0.5,0,2.63377075,10.16806485
"108452107","6213662751",1633679933,2221,601321,1,"94",TRUE,5.1,3,1.482,1.834,5,2,1.84615392,0,0.5,1.75,0,0.8813403,23.39349422
"221666230","6213662751",1633679933,2221,601321,1,"74",TRUE,2.4,2.1,0.702,1.116,1,0,2.15384619,1,0.5,1.75,0,3.041647,15.76349319
"87063175","6213662751",1633679933,2221,601321,1,"29",TRUE,2.1,2.7,0.636,1.004,1,0,2.3846154,0,0.5,0.5,0,2.787511,13.6121264
"86726887","6213662751",1633679933,2221,601321,1,"128",TRUE,1.2,1.2,0.189,0.618,1,0,1.6923078,1,2.5,2,0,0.6508823,12.0501901
"47434686","6213662751",1633679933,2221,601321,1,"103",TRUE,1.2,0.9,0.096,0.642,0,0,2.0769231,7,1,1.25,0,2.5845095,16.7494326
"108452107","6213619890",1633676407,1859,601321,1,"19",FALSE,0.3,2.4,0.945,1.05,0,0,0.9,0,0.5,0.5,0,0.82512915,7.42012915
"221666230","6213619890",1633676407,1859,601321,1,"17",FALSE,1.2,1.8,0.684,0.896,0,0,2.1,0.5,0,2.5,0,0.87859375,10.55859375
"87063175","6213619890",1633676407,1859,601321,1,"77",FALSE,0.3,2.4,0.84,0.908,3,0,1.8,0,0.5,1,0,0,10.748
"86726887","6213619890",1633676407,1859,601321,1,"9",FALSE,0.9,2.4,0.198,0.504,0,0,2.1,1.5,2,0.5,0,1.1209791,11.2229791
"47434686","6213619890",1633676407,1859,601321,1,"102",FALSE,0.3,1.5,0.111,0.42,0,0,1.5,5,0,0.75,0,0,9.581
"292921272","6213619890",1633676407,1859,601321,1,"40",TRUE,0.3,2.1,0.522,0.866,2,1,2.4,0,0.5,0.5,0,0,10.188
"119631156","6213619890",1633676407,1859,601321,1,"84",TRUE,0.3,1.5,0.069,0.528,0,0,2.20000005,5,1.5,0.5,0,1.14122705,12.7382271
"164685175","6213619890",1633676407,1859,601321,1,"4",TRUE,2.1,2.7,1.065,1.416,2,0,1.8,0,0.5,0.75,0,0.17560205,12.50660205
"157989498","6213619890",1633676407,1859,601321,1,"7",TRUE,0.3,2.7,0.126,0.554,0,0,1.8,1.5,0.5,0.25,0,1.8646349,9.5946349
"153836240","6213619890",1633676407,1859,601321,1,"25",TRUE,1.5,3,0.933,1.268,5,1,2.0000001,0.5,2,2.25,4,0.8674488,24.3184489
"108452107","6214313607",1633716038,2229,601420,1,"94",TRUE,1.8,2.7,1.563,1.598,6,0,1.73684211,0,1.5,0.75,0,0.123754885,17.771596995
"221666230","6214313607",1633716038,2229,601420,1,"126",TRUE,2.1,2.4,0.885,1.15,0,0,2.2105263,0.5,2,3,0,0,14.2455263
"87063175","6214313607",1633716038,2229,601420,1,"40",TRUE,0.9,2.7,0.885,1.042,2,1,2.3684211,0,1,1.5,0,0,13.3954211
"86726887","6214313607",1633716038,2229,601420,1,"7",TRUE,0.3,1.5,0.138,0.55,0,1,2.05263162,1,0,0,0,2.1556862,8.69631782
"47434686","6214313607",1633716038,2229,601420,1,"112",TRUE,0.6,1.5,0.132,0.566,0,0,2.2105263,7,1,0.5,0,0.9791748,14.4877011
"100471531","6214313607",1633716038,2229,601420,1,"86",FALSE,0.3,1.5,0.303,0.612,0,0,1.5,2,3.5,0.75,0,1.33169955,11.79669955
"102099826","6214313607",1633716038,2229,601420,1,"104",FALSE,0.6,1.2,0.156,0.48,0,0,1.92857139,5.5,2.5,1.25,0,0,13.61457139
"99983413","6214313607",1633716038,2229,601420,1,"77",FALSE,0.9,2.4,0.831,0.9,1,0,1.5,0,1,0.25,0,0.164959715,8.945959715
"132309493","6214313607",1633716038,2229,601420,1,"19",FALSE,1.2,1.5,1.014,1.028,3,0,1.92857139,0.5,0.5,1,4,2.07373465,17.74430604
"113435203","6214313607",1633716038,2229,601420,1,"13",FALSE,1.2,2.4,0.801,0.902,0,0,2.14285719,1,0.5,2.5,0,0.33379638,11.77965357
"81306398","6216545156",1633854503,3094,601835,1,"120",FALSE,1.2,1.5,0.135,0.692,0,0,2.20000005,10.5,0,1,0,0.86572265,18.0927227
"117956848","6216545156",1633854503,3094,601835,1,"29",FALSE,0.9,0.9,0.63,0.738,0,0,1.69999998,0,0.5,0.5,0,1.8707925,7.73879248
